
  
   Name                                                           | Size       | Percent used | Index scans | Seq scans | Unused 
   public.org_dogs_pkey                                           | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_analytics_daily_org_id_analytics_date_group_tag_key | 8192 bytes | 0%           | 0           | 0         | true   
   public.training_plans_pkey                                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_dog_assignments_active_with_org                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.parent_interactions_pkey                                | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_subscriptions_user_id                               | 8192 bytes | 100%         | 12          | 0         | false  
   public.idx_media_assets_log_id                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_members_pkey                                        | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_dogs_pii_pkey                                       | 8192 bytes | 0%           | 0           | 0         | true   
   public.edge_function_requests_idempotency_key_key              | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_feedback_snapshot                                   | 8192 bytes | 0%           | 0           | 0         | true   
   public.content_providers_pkey                                  | 8192 bytes | 100%         | 1           | 0         | false  
   public.training_media_pkey                                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_training_media_training                             | 8192 bytes | 0%           | 0           | 0         | true   
   public.ai_cost_usage_org_pkey                                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_content_metrics_dog                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.daily_reports_share_token_key                           | 8192 bytes | 0%           | 0           | 0         | true   
   public.media_assets_pkey                                       | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_daily_reports_unique_org                            | 8192 bytes | 0%           | 0           | 0         | true   
   public.edge_function_requests_pkey                             | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_log_summaries_dog_id                                | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_dog_assignments_active_without_org                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.organizations_pkey                                      | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_plan_items_plan                                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.training_goals_pkey                                     | 8192 bytes | 0%           | 0           | 0         | true   
   public.training_plans_slug_key                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_training_goals_dog                                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.subscriptions_pkey                                      | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_org_dogs_org_status                                 | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_subscriptions_pkey                                  | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_daily_reports_status                                | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_analytics_daily_pkey                                | 8192 bytes | 100%         | 1           | 0         | false  
   public.content_providers_slug_key                              | 8192 bytes | 0%           | 0           | 0         | true   
   public.org_members_org_id_user_id_key                          | 8192 bytes | 0%           | 0           | 0         | true   
   public.idx_daily_reports_share                                 | 8192 bytes | 0%           | 0           | 0         | true   

